date,lat,long,so2,no2,co,o3,pm10
01/04/2011 00:00,18.023001,-92.903202,0.005,0.001,0,0.007,56
01/04/2011 01:00,18.023001,-92.903202,0.005,0.001,0,0.008,54
01/04/2011 02:00,18.023001,-92.903202,0.004,0.001,0,0.007,54
01/04/2011 03:00,18.023001,-92.903202,0.004,0.001,0,0.006,53
01/04/2011 04:00,18.023001,-92.903202,0.004,0.001,0,0.006,49
01/04/2011 05:00,18.023001,-92.903202,0.004,0.001,0,0.005,48
01/04/2011 06:00,18.023001,-92.903202,0.004,0.001,0,0.006,42
01/04/2011 07:00,18.023001,-92.903202,0.005,0.001,0,0.004,64
01/04/2011 08:00,18.023001,-92.903202,0.006,0.001,0,0.003,76
01/04/2011 09:00,18.023001,-92.903202,0.005,0.001,0,0.006,62
01/04/2011 10:00,18.023001,-92.903202,0.005,0.001,0,0.008,65
01/04/2011 11:00,18.023001,-92.903202,0.005,0.001,0,0.011,61
01/04/2011 12:00,18.023001,-92.903202,0.007,0.001,0,0.012,57
01/04/2011 13:00,18.023001,-92.903202,0.01,0.001,0,0.014,53
01/04/2011 14:00,18.023001,-92.903202,0.014,0.001,0,0.017,57
01/04/2011 15:00,18.023001,-92.903202,0.009,0.001,0,0.018,49
01/04/2011 16:00,18.023001,-92.903202,0.008,0.001,0,0.016,43
01/04/2011 17:00,18.023001,-92.903202,0.007,0.001,0,0.015,62
01/04/2011 18:00,18.023001,-92.903202,0.007,0.001,0,0.01,104
01/04/2011 19:00,18.023001,-92.903202,0.007,0.001,0,0.01,89
01/04/2011 20:00,18.023001,-92.903202,0.006,0.001,0,0.01,74
01/04/2011 21:00,18.023001,-92.903202,0.007,0.001,0,0.008,81
01/04/2011 22:00,18.023001,-92.903202,0.008,0.001,0,0.008,90
01/04/2011 23:00,18.023001,-92.903202,0.009,0.001,0,0.007,95
02/04/2011 00:00,18.023001,-92.903202,0.007,0.001,0,0.007,94
02/04/2011 01:00,18.023001,-92.903202,0.005,0.001,0,0.006,90
02/04/2011 02:00,18.023001,-92.903202,0.004,0.001,0,0.006,87
02/04/2011 03:00,18.023001,-92.903202,0.004,0.001,0,0.006,79
02/04/2011 04:00,18.023001,-92.903202,0.004,0.001,0,0.006,65
02/04/2011 05:00,18.023001,-92.903202,0.004,0.001,0,0.005,70
02/04/2011 06:00,18.023001,-92.903202,0.004,0.001,0,0.004,64
02/04/2011 07:00,18.023001,-92.903202,0.004,0.001,0,0.004,73
02/04/2011 08:00,18.023001,-92.903202,0.004,0.001,0,0.006,68
02/04/2011 09:00,18.023001,-92.903202,0.004,0.001,0,0.007,52
02/04/2011 10:00,18.023001,-92.903202,0.004,0.001,0,0.009,51
02/04/2011 11:00,18.023001,-92.903202,0.005,0.001,0,0.009,53
02/04/2011 12:00,18.023001,-92.903202,0.005,0.001,0,0.01,60
02/04/2011 13:00,18.023001,-92.903202,0.005,0.001,0,0.011,64
02/04/2011 14:00,18.023001,-92.903202,0.006,0.001,0,0.01,63
02/04/2011 15:00,18.023001,-92.903202,0.006,0.001,0,0.01,55
02/04/2011 16:00,18.023001,-92.903202,0.006,0.001,0,0.013,63
02/04/2011 17:00,18.023001,-92.903202,0.006,0.001,0,0.015,72
02/04/2011 18:00,18.023001,-92.903202,0.007,0.001,0,0.011,89
02/04/2011 19:00,18.023001,-92.903202,0.006,0.001,0,0.009,74
02/04/2011 20:00,18.023001,-92.903202,0.006,0.001,0,0.009,65
02/04/2011 21:00,18.023001,-92.903202,0.005,0.001,0,0.007,68
02/04/2011 22:00,18.023001,-92.903202,0.005,0.001,0,0.006,62
02/04/2011 23:00,18.023001,-92.903202,0.005,0.001,0,0.007,63
03/04/2011 00:00,18.023001,-92.903202,0.004,0.001,0,0.007,54
03/04/2011 01:00,18.023001,-92.903202,0.004,0.001,0,0.008,33
03/04/2011 02:00,18.023001,-92.903202,0.004,0.001,0,0.008,27
03/04/2011 03:00,18.023001,-92.903202,0.003,0.001,0,0.009,27
03/04/2011 04:00,18.023001,-92.903202,0.003,0.001,0,0.008,31
03/04/2011 05:00,18.023001,-92.903202,0.003,0.001,0,0.008,34
03/04/2011 06:00,18.023001,-92.903202,0.003,0.001,0,0.008,32
03/04/2011 07:00,18.023001,-92.903202,0.004,0.001,0,0.007,36
03/04/2011 08:00,18.023001,-92.903202,0.007,0.001,0,0.007,36
03/04/2011 09:00,18.023001,-92.903202,0.006,0.001,0,0.009,38
03/04/2011 10:00,18.023001,-92.903202,0.005,0.001,0,0.011,51
03/04/2011 11:00,18.023001,-92.903202,0.006,0.001,0,0.013,51
03/04/2011 12:00,18.023001,-92.903202,0.006,0.001,0,0.013,66
03/04/2011 13:00,18.023001,-92.903202,0.007,0.001,0,0.014,61
03/04/2011 14:00,18.023001,-92.903202,0.007,0.001,0,0.012,56
03/04/2011 15:00,18.023001,-92.903202,0.006,0.001,0,0.012,49
03/04/2011 16:00,18.023001,-92.903202,0.005,0.001,0,0.014,50
03/04/2011 17:00,18.023001,-92.903202,0.004,0.001,0,0.016,50
03/04/2011 18:00,18.023001,-92.903202,0.004,0.001,0,0.018,59
03/04/2011 19:00,18.023001,-92.903202,0.004,0.001,0,0.015,71
03/04/2011 20:00,18.023001,-92.903202,0.004,0.001,0,0.014,88
03/04/2011 21:00,18.023001,-92.903202,0.004,0.001,0,0.012,83
03/04/2011 22:00,18.023001,-92.903202,0.004,0.001,0,0.011,60
03/04/2011 23:00,18.023001,-92.903202,0.004,0.001,0,0.009,57
